course_code,department,year,semester,student_count,faculty_id,day_of_week,start_time,end_time,venue_name
ECE487,ECE,1,1,54,FAC5098,Wednesday,14:00,15:00,EW 101
AIML367,AIML,4,7,35,FAC5112,Thursday,10:00,11:00,EW 101
IT464,IT,4,8,39,FAC5025,Thursday,11:15,12:15,EW 101
CIVIL128,CIVIL,2,4,48,FAC5023,Thursday,09:00,10:00,EW 101
MECH199,MECH,1,2,59,FAC5034,Thursday,12:15,13:15,EW 101
IT151,IT,4,7,39,FAC5017,Friday,12:15,13:15,EW 101
IT166,IT,2,4,53,FAC5055,Friday,09:00,10:00,EW 101
AIDS493,AIDS,2,4,53,FAC5071,Friday,10:00,11:00,EW 101
CIVIL330,CIVIL,1,1,41,FAC5025,Friday,14:00,15:00,EW 101
IT155,IT,2,4,49,FAC5051,Monday,09:00,10:00,SF 103
ECE417,ECE,2,4,55,FAC5098,Monday,11:15,12:15,SF 103
EEE397,EEE,1,2,49,FAC5041,Monday,10:00,11:00,SF 103
IT340,IT,3,5,50,FAC5011,Monday,14:00,15:00,SF 103
CSE188,CSE,2,3,59,FAC5071,Tuesday,15:00,16:00,SF 103
CIVIL117,CIVIL,4,8,40,FAC5105,Tuesday,09:00,10:00,SF 103
ECE319,ECE,4,7,42,FAC5132,Tuesday,12:15,13:15,SF 103
ECE374,ECE,3,6,36,FAC5048,Wednesday,09:00,10:00,SF 103
EEE144,EEE,1,2,51,FAC5016,Wednesday,11:15,12:15,SF 103
IT129,IT,3,5,57,FAC5132,Wednesday,12:15,13:15,SF 103
CIVIL451,CIVIL,2,4,41,FAC5010,Wednesday,10:00,11:00,SF 103
CIVIL419,CIVIL,2,3,51,FAC5080,Thursday,15:00,16:00,SF 103
MECH426,MECH,4,7,51,FAC5037,Thursday,11:15,12:15,SF 103
AIML334,AIML,2,3,42,FAC5071,Thursday,09:00,10:00,SF 103
IT108,IT,4,8,58,FAC5017,Thursday,14:00,15:00,SF 103
EEE438,EEE,1,1,53,FAC5116,Friday,09:00,10:00,SF 103
AIDS263,AIDS,2,4,46,FAC5117,Friday,12:15,13:15,SF 103
MECH390,MECH,4,8,58,FAC5072,Friday,14:00,15:00,SF 103
AIML181,AIML,3,6,59,FAC5007,Friday,15:00,16:00,SF 103
CIVIL352,CIVIL,1,2,45,FAC5057,Monday,11:15,12:15,WW 004
CSE347,CSE,2,4,42,FAC5092,Monday,12:15,13:15,WW 004
ECE353,ECE,4,7,42,FAC5099,Monday,14:00,15:00,WW 004
ECE465,ECE,3,5,51,FAC5076,Tuesday,09:00,10:00,WW 004
TEXTILE154,TEXTILE,2,4,52,FAC5055,Tuesday,14:00,15:00,WW 004
AIML176,AIML,4,7,37,FAC5105,Tuesday,15:00,16:00,WW 004
CIVIL279,CIVIL,2,3,51,FAC5048,Wednesday,12:15,13:15,WW 004
TEXTILE178,TEXTILE,1,1,58,FAC5011,Wednesday,14:00,15:00,WW 004
CIVIL300,CIVIL,2,4,57,FAC5064,Wednesday,15:00,16:00,WW 004
CIVIL398,CIVIL,3,6,53,FAC5103,Thursday,12:15,13:15,WW 004
TEXTILE118,TEXTILE,1,2,49,FAC5116,Thursday,09:00,10:00,WW 004
MECH121,MECH,2,3,42,FAC5039,Thursday,11:15,12:15,WW 004
ECE353,ECE,4,7,59,FAC5077,Friday,12:15,13:15,WW 004
AIML294,AIML,1,2,45,FAC5058,Friday,10:00,11:00,WW 004
ECE251,ECE,2,3,56,FAC5083,Friday,11:15,12:15,WW 004
AIDS473,AIDS,4,7,53,FAC5109,Friday,09:00,10:00,WW 004
IT178,IT,1,2,41,FAC5005,Monday,14:00,15:00,EW 202
CSE240,CSE,4,8,35,FAC5064,Monday,12:15,13:15,EW 202
EEE334,EEE,4,7,50,FAC5117,Monday,11:15,12:15,EW 202
EEE153,EEE,2,4,43,FAC5020,Monday,15:00,16:00,EW 202
MECH366,MECH,1,2,47,FAC5054,Tuesday,14:00,15:00,EW 202
CSE355,CSE,1,2,40,FAC5100,Tuesday,10:00,11:00,EW 202
ECE161,ECE,1,2,43,FAC5098,Tuesday,11:15,12:15,EW 202
ECE310,ECE,3,5,58,FAC5095,Wednesday,14:00,15:00,EW 202
IT154,IT,1,1,52,FAC5046,Wednesday,11:15,12:15,EW 202
CSE453,CSE,3,6,57,FAC5012,Wednesday,12:15,13:15,EW 202
TEXTILE238,TEXTILE,4,7,42,FAC5113,Thursday,15:00,16:00,EW 202
AIDS344,AIDS,2,4,40,FAC5085,Thursday,12:15,13:15,EW 202
TEXTILE139,TEXTILE,2,4,39,FAC5116,Thursday,11:15,12:15,EW 202
EEE491,EEE,3,6,35,FAC5120,Friday,10:00,11:00,EW 202
CSE145,CSE,3,5,43,FAC5133,Friday,12:15,13:15,EW 202
CIVIL158,CIVIL,2,3,51,FAC5118,Friday,15:00,16:00,EW 202
CIVIL302,CIVIL,1,2,43,FAC5030,Monday,10:00,11:00,EW 207
TEXTILE452,TEXTILE,2,3,45,FAC5024,Monday,12:15,13:15,EW 207
ECE184,ECE,2,4,39,FAC5116,Monday,15:00,16:00,EW 207
EEE170,EEE,1,1,46,FAC5047,Tuesday,09:00,10:00,EW 207
AIML292,AIML,3,6,37,FAC5109,Tuesday,15:00,16:00,EW 207
CIVIL109,CIVIL,1,2,44,FAC5035,Tuesday,12:15,13:15,EW 207
TEXTILE492,TEXTILE,4,7,37,FAC5093,Tuesday,10:00,11:00,EW 207
TEXTILE412,TEXTILE,3,6,58,FAC5080,Wednesday,11:15,12:15,EW 207
EEE302,EEE,1,2,46,FAC5059,Wednesday,09:00,10:00,EW 207
EEE307,EEE,1,1,42,FAC5033,Wednesday,15:00,16:00,EW 207
AIDS353,AIDS,3,6,56,FAC5078,Wednesday,12:15,13:15,EW 207
CSE184,CSE,1,1,57,FAC5100,Thursday,15:00,16:00,EW 207
TEXTILE267,TEXTILE,1,2,49,FAC5109,Thursday,14:00,15:00,EW 207
CIVIL220,CIVIL,3,5,38,FAC5087,Thursday,12:15,13:15,EW 207
CIVIL286,CIVIL,4,8,40,FAC5086,Friday,14:00,15:00,EW 207
ECE454,ECE,1,2,36,FAC5029,Friday,15:00,16:00,EW 207
CSE473,CSE,2,4,43,FAC5095,Friday,09:00,10:00,EW 207
TEXTILE342,TEXTILE,4,8,58,FAC5022,Friday,10:00,11:00,EW 207
EEE380,EEE,1,1,42,FAC5039,Monday,14:00,15:00,EW 115
ECE318,ECE,4,8,47,FAC5035,Monday,10:00,11:00,EW 115
CIVIL208,CIVIL,3,6,55,FAC5095,Monday,15:00,16:00,EW 115
TEXTILE193,TEXTILE,1,1,47,FAC5054,Tuesday,10:00,11:00,EW 115
AIDS226,AIDS,4,7,35,FAC5048,Tuesday,14:00,15:00,EW 115
EEE437,EEE,1,2,44,FAC5047,Tuesday,09:00,10:00,EW 115
IT322,IT,4,7,54,FAC5066,Tuesday,12:15,13:15,EW 115
TEXTILE463,TEXTILE,3,5,37,FAC5134,Wednesday,11:15,12:15,EW 115
ECE101,ECE,4,8,38,FAC5038,Wednesday,09:00,10:00,EW 115
ECE229,ECE,3,5,48,FAC5064,Wednesday,10:00,11:00,EW 115
CSE439,CSE,2,3,48,FAC5011,Thursday,11:15,12:15,EW 115
ECE314,ECE,4,7,36,FAC5084,Thursday,14:00,15:00,EW 115
EEE347,EEE,3,5,55,FAC5081,Thursday,15:00,16:00,EW 115
EEE353,EEE,2,3,42,FAC5090,Thursday,10:00,11:00,EW 115
AIML134,AIML,3,6,49,FAC5038,Friday,15:00,16:00,EW 115
ECE464,ECE,4,7,56,FAC5125,Friday,14:00,15:00,EW 115
IT211,IT,2,3,38,FAC5087,Friday,12:15,13:15,EW 115
MECH388,MECH,3,6,49,FAC5046,Monday,15:00,16:00,WW 103
IT198,IT,1,1,37,FAC5102,Monday,12:15,13:15,WW 103
CIVIL453,CIVIL,1,2,49,FAC5130,Monday,10:00,11:00,WW 103
EEE421,EEE,2,4,40,FAC5077,Tuesday,12:15,13:15,WW 103
IT355,IT,4,7,51,FAC5112,Tuesday,10:00,11:00,WW 103
MECH254,MECH,3,5,43,FAC5090,Tuesday,11:15,12:15,WW 103
IT398,IT,2,4,36,FAC5001,Wednesday,10:00,11:00,WW 103
CSE176,CSE,1,1,52,FAC5015,Wednesday,15:00,16:00,WW 103
IT433,IT,4,8,39,FAC5006,Wednesday,09:00,10:00,WW 103
MECH218,MECH,1,2,36,FAC5129,Wednesday,14:00,15:00,WW 103
CSE161,CSE,1,2,37,FAC5128,Thursday,14:00,15:00,WW 103
AIDS287,AIDS,3,6,39,FAC5042,Thursday,12:15,13:15,WW 103
MECH308,MECH,2,4,55,FAC5009,Thursday,09:00,10:00,WW 103
EEE318,EEE,1,1,58,FAC5126,Friday,12:15,13:15,WW 103
EEE245,EEE,4,7,51,FAC5015,Friday,10:00,11:00,WW 103
TEXTILE439,TEXTILE,3,5,36,FAC5044,Friday,14:00,15:00,WW 103
TEXTILE174,TEXTILE,1,1,41,FAC5116,Friday,11:15,12:15,WW 103
TEXTILE385,TEXTILE,2,3,40,FAC5056,Monday,14:00,15:00,ME303
TEXTILE167,TEXTILE,1,1,54,FAC5122,Monday,10:00,11:00,ME303
CIVIL429,CIVIL,3,6,56,FAC5027,Monday,11:15,12:15,ME303
AIDS381,AIDS,2,3,49,FAC5003,Tuesday,15:00,16:00,ME303
AIML469,AIML,3,5,40,FAC5074,Tuesday,12:15,13:15,ME303
AIML471,AIML,2,3,57,FAC5097,Tuesday,10:00,11:00,ME303
CSE314,CSE,3,5,52,FAC5002,Tuesday,11:15,12:15,ME303
ECE421,ECE,4,7,55,FAC5073,Wednesday,12:15,13:15,ME303
MECH400,MECH,2,4,59,FAC5096,Wednesday,10:00,11:00,ME303
ECE105,ECE,3,5,36,FAC5061,Wednesday,15:00,16:00,ME303
CIVIL414,CIVIL,1,1,42,FAC5072,Wednesday,09:00,10:00,ME303
ECE394,ECE,2,3,58,FAC5074,Thursday,14:00,15:00,ME303
CIVIL143,CIVIL,4,7,56,FAC5029,Thursday,10:00,11:00,ME303
EEE425,EEE,4,8,39,FAC5019,Thursday,15:00,16:00,ME303
IT207,IT,4,7,59,FAC5079,Thursday,12:15,13:15,ME303
ECE320,ECE,4,8,45,FAC5025,Friday,15:00,16:00,ME303
CIVIL262,CIVIL,3,5,48,FAC5050,Friday,12:15,13:15,ME303
AIML487,AIML,2,4,44,FAC5045,Friday,11:15,12:15,ME303
AIDS431,AIDS,3,5,47,FAC5083,Monday,10:00,11:00,WW 105
AIDS354,AIDS,4,7,60,FAC5071,Monday,15:00,16:00,WW 105
IT301,IT,3,6,45,FAC5079,Monday,12:15,13:15,WW 105
TEXTILE476,TEXTILE,1,2,52,FAC5097,Tuesday,11:15,12:15,WW 105
EEE273,EEE,1,2,50,FAC5008,Tuesday,15:00,16:00,WW 105
MECH447,MECH,2,3,38,FAC5024,Tuesday,12:15,13:15,WW 105
CSE460,CSE,2,4,39,FAC5085,Wednesday,11:15,12:15,WW 105
EEE493,EEE,3,6,39,FAC5050,Wednesday,14:00,15:00,WW 105
IT234,IT,3,5,56,FAC5084,Wednesday,10:00,11:00,WW 105
MECH115,MECH,4,7,39,FAC5042,Thursday,09:00,10:00,WW 105
CSE426,CSE,2,4,47,FAC5103,Thursday,12:15,13:15,WW 105
IT446,IT,3,5,50,FAC5099,Thursday,14:00,15:00,WW 105
ECE189,ECE,1,1,60,FAC5019,Friday,10:00,11:00,WW 105
AIML174,AIML,1,2,48,FAC5087,Friday,11:15,12:15,WW 105
AIDS263,AIDS,3,5,40,FAC5032,Friday,09:00,10:00,WW 105
AIML272,AIML,4,8,53,FAC5072,Friday,15:00,16:00,WW 105
AIML209,AIML,1,1,52,FAC5123,Monday,10:00,11:00,WW 217
CIVIL267,CIVIL,3,6,51,FAC5094,Monday,09:00,10:00,WW 217
MECH144,MECH,2,3,55,FAC5004,Monday,15:00,16:00,WW 217
TEXTILE164,TEXTILE,1,1,37,FAC5086,Tuesday,11:15,12:15,WW 217
TEXTILE402,TEXTILE,4,8,60,FAC5016,Tuesday,14:00,15:00,WW 217
AIDS396,AIDS,1,2,50,FAC5067,Tuesday,15:00,16:00,WW 217
IT387,IT,1,1,41,FAC5114,Wednesday,12:15,13:15,WW 217
IT296,IT,3,5,50,FAC5097,Wednesday,14:00,15:00,WW 217
EEE192,EEE,4,7,44,FAC5075,Wednesday,11:15,12:15,WW 217
EEE103,EEE,4,7,54,FAC5070,Wednesday,15:00,16:00,WW 217
CIVIL214,CIVIL,1,1,55,FAC5132,Thursday,09:00,10:00,WW 217
ECE274,ECE,2,3,49,FAC5058,Thursday,15:00,16:00,WW 217
ECE173,ECE,1,1,44,FAC5066,Thursday,12:15,13:15,WW 217
AIDS247,AIDS,4,8,58,FAC5005,Friday,14:00,15:00,WW 217
ECE345,ECE,3,5,42,FAC5058,Friday,12:15,13:15,WW 217
AIML108,AIML,3,5,60,FAC5053,Friday,15:00,16:00,WW 217
EEE400,EEE,1,2,54,FAC5132,Monday,09:00,10:00,WW 216
AIML439,AIML,2,4,57,FAC5066,Monday,11:15,12:15,WW 216
MECH343,MECH,2,4,42,FAC5030,Monday,10:00,11:00,WW 216
ECE133,ECE,1,2,57,FAC5004,Monday,15:00,16:00,WW 216
AIML438,AIML,1,2,49,FAC5078,Tuesday,09:00,10:00,WW 216
AIML237,AIML,2,3,60,FAC5054,Tuesday,11:15,12:15,WW 216
MECH108,MECH,4,8,44,FAC5123,Tuesday,15:00,16:00,WW 216
EEE432,EEE,2,4,41,FAC5029,Tuesday,10:00,11:00,WW 216
TEXTILE467,TEXTILE,4,7,45,FAC5126,Wednesday,11:15,12:15,WW 216
IT488,IT,1,2,41,FAC5007,Wednesday,14:00,15:00,WW 216
IT235,IT,4,7,45,FAC5103,Wednesday,15:00,16:00,WW 216
AIDS307,AIDS,2,4,58,FAC5089,Thursday,12:15,13:15,WW 216
AIML495,AIML,3,6,57,FAC5003,Thursday,11:15,12:15,WW 216
CIVIL287,CIVIL,3,6,42,FAC5085,Thursday,09:00,10:00,WW 216
CSE445,CSE,3,6,37,FAC5072,Thursday,10:00,11:00,WW 216
MECH441,MECH,1,1,43,FAC5007,Friday,11:15,12:15,WW 216
AIDS150,AIDS,1,1,58,FAC5003,Friday,14:00,15:00,WW 216
CIVIL218,CIVIL,1,1,50,FAC5044,Friday,15:00,16:00,WW 216
CSE144,CSE,2,4,46,FAC5065,Friday,10:00,11:00,WW 216
AIDS225,AIDS,3,6,36,FAC5084,Monday,09:00,10:00,WW 224
MECH389,MECH,2,4,48,FAC5078,Monday,12:15,13:15,WW 224
IT279,IT,4,7,58,FAC5066,Monday,15:00,16:00,WW 224
CSE167,CSE,4,8,42,FAC5059,Monday,14:00,15:00,WW 224
TEXTILE489,TEXTILE,2,3,46,FAC5073,Tuesday,10:00,11:00,WW 224
IT349,IT,4,7,41,FAC5012,Tuesday,09:00,10:00,WW 224
CSE404,CSE,2,4,44,FAC5026,Tuesday,11:15,12:15,WW 224
TEXTILE342,TEXTILE,2,4,45,FAC5093,Wednesday,14:00,15:00,WW 224
AIML499,AIML,4,7,54,FAC5090,Wednesday,11:15,12:15,WW 224
EEE423,EEE,1,2,60,FAC5016,Wednesday,09:00,10:00,WW 224
CSE426,CSE,3,6,35,FAC5095,Wednesday,15:00,16:00,WW 224
EEE328,EEE,1,1,50,FAC5117,Thursday,11:15,12:15,WW 224
IT144,IT,3,5,39,FAC5107,Thursday,14:00,15:00,WW 224
EEE214,EEE,2,3,44,FAC5112,Thursday,15:00,16:00,WW 224
EEE446,EEE,2,3,50,FAC5049,Thursday,09:00,10:00,WW 224
MECH332,MECH,4,7,50,FAC5036,Friday,10:00,11:00,WW 224
AIDS234,AIDS,1,1,42,FAC5070,Friday,12:15,13:15,WW 224
EEE110,EEE,4,8,48,FAC5115,Friday,15:00,16:00,WW 224
EEE217,EEE,3,5,47,FAC5082,Friday,14:00,15:00,WW 224
CIVIL334,CIVIL,3,6,41,FAC5128,Monday,12:15,13:15,WW 005
ECE254,ECE,4,7,46,FAC5104,Monday,10:00,11:00,WW 005
TEXTILE494,TEXTILE,1,1,49,FAC5045,Monday,14:00,15:00,WW 005
CIVIL333,CIVIL,4,7,37,FAC5105,Tuesday,09:00,10:00,WW 005
TEXTILE419,TEXTILE,3,6,49,FAC5080,Tuesday,14:00,15:00,WW 005
AIDS170,AIDS,1,1,39,FAC5010,Tuesday,10:00,11:00,WW 005
IT285,IT,4,8,39,FAC5095,Wednesday,15:00,16:00,WW 005
IT232,IT,3,6,46,FAC5083,Wednesday,10:00,11:00,WW 005
MECH207,MECH,3,5,51,FAC5017,Wednesday,12:15,13:15,WW 005
TEXTILE128,TEXTILE,4,7,47,FAC5046,Wednesday,11:15,12:15,WW 005
CSE193,CSE,1,1,37,FAC5112,Thursday,10:00,11:00,WW 005
CIVIL146,CIVIL,2,4,56,FAC5073,Thursday,11:15,12:15,WW 005
CSE496,CSE,2,4,59,FAC5012,Thursday,14:00,15:00,WW 005
CIVIL447,CIVIL,3,6,45,FAC5003,Thursday,15:00,16:00,WW 005
AIML147,AIML,2,3,43,FAC5062,Friday,15:00,16:00,WW 005
IT323,IT,1,1,36,FAC5073,Friday,11:15,12:15,WW 005
CIVIL117,CIVIL,2,4,46,FAC5091,Friday,10:00,11:00,WW 005
AIDS453,AIDS,2,3,38,FAC5013,Monday,10:00,11:00,ME102
AIDS142,AIDS,2,4,38,FAC5001,Monday,15:00,16:00,ME102
EEE157,EEE,4,8,59,FAC5078,Monday,09:00,10:00,ME102
IT193,IT,1,2,42,FAC5104,Monday,12:15,13:15,ME102
EEE331,EEE,4,7,51,FAC5044,Tuesday,12:15,13:15,ME102
CIVIL304,CIVIL,1,2,38,FAC5063,Tuesday,11:15,12:15,ME102
TEXTILE181,TEXTILE,2,4,49,FAC5105,Tuesday,15:00,16:00,ME102
AIDS464,AIDS,2,4,38,FAC5035,Wednesday,14:00,15:00,ME102
CIVIL359,CIVIL,3,6,46,FAC5023,Wednesday,12:15,13:15,ME102
CSE439,CSE,4,7,38,FAC5130,Wednesday,11:15,12:15,ME102
AIDS106,AIDS,4,8,36,FAC5059,Thursday,09:00,10:00,ME102
MECH389,MECH,3,5,51,FAC5003,Thursday,15:00,16:00,ME102
IT258,IT,2,3,45,FAC5135,Thursday,10:00,11:00,ME102
IT442,IT,1,1,46,FAC5100,Thursday,11:15,12:15,ME102
CSE179,CSE,1,1,55,FAC5051,Friday,15:00,16:00,ME102
IT136,IT,2,4,46,FAC5088,Friday,10:00,11:00,ME102
AIDS432,AIDS,4,8,41,FAC5102,Friday,09:00,10:00,ME102
EEE317,EEE,3,6,53,FAC5005,Friday,11:15,12:15,ME102
EEE123,EEE,1,1,37,FAC5135,Monday,14:00,15:00,WW 208
EEE499,EEE,1,1,43,FAC5007,Monday,12:15,13:15,WW 208
IT153,IT,4,7,35,FAC5048,Monday,11:15,12:15,WW 208
AIML376,AIML,3,5,46,FAC5112,Tuesday,11:15,12:15,WW 208
CIVIL297,CIVIL,3,6,47,FAC5101,Tuesday,14:00,15:00,WW 208
CIVIL209,CIVIL,4,8,60,FAC5109,Tuesday,10:00,11:00,WW 208
TEXTILE288,TEXTILE,4,8,55,FAC5012,Tuesday,09:00,10:00,WW 208
MECH246,MECH,2,3,59,FAC5029,Wednesday,11:15,12:15,WW 208
IT122,IT,3,5,51,FAC5027,Wednesday,15:00,16:00,WW 208
AIDS146,AIDS,4,7,53,FAC5049,Wednesday,09:00,10:00,WW 208
ECE386,ECE,4,7,38,FAC5073,Wednesday,10:00,11:00,WW 208
AIDS468,AIDS,2,3,57,FAC5001,Thursday,10:00,11:00,WW 208
IT354,IT,1,2,56,FAC5055,Thursday,09:00,10:00,WW 208
AIML215,AIML,4,8,44,FAC5061,Thursday,11:15,12:15,WW 208
ECE245,ECE,3,5,51,FAC5056,Friday,09:00,10:00,WW 208
ECE179,ECE,2,3,39,FAC5103,Friday,10:00,11:00,WW 208
EEE466,EEE,1,1,48,FAC5115,Friday,11:15,12:15,WW 208
TEXTILE464,TEXTILE,4,7,40,FAC5086,Friday,12:15,13:15,WW 208
AIDS355,AIDS,1,2,42,FAC5059,Monday,09:00,10:00,EW 209
CSE398,CSE,2,3,38,FAC5081,Monday,15:00,16:00,EW 209
IT393,IT,4,7,54,FAC5104,Monday,14:00,15:00,EW 209
MECH408,MECH,3,6,47,FAC5083,Tuesday,12:15,13:15,EW 209
TEXTILE167,TEXTILE,2,4,43,FAC5083,Tuesday,14:00,15:00,EW 209
CIVIL406,CIVIL,1,2,47,FAC5040,Tuesday,09:00,10:00,EW 209
TEXTILE390,TEXTILE,1,2,56,FAC5026,Tuesday,15:00,16:00,EW 209
IT430,IT,4,8,53,FAC5024,Wednesday,11:15,12:15,EW 209
ECE154,ECE,1,1,46,FAC5084,Wednesday,14:00,15:00,EW 209
AIDS228,AIDS,3,6,57,FAC5033,Wednesday,10:00,11:00,EW 209
MECH250,MECH,1,2,54,FAC5085,Thursday,12:15,13:15,EW 209
AIDS377,AIDS,4,8,35,FAC5010,Thursday,09:00,10:00,EW 209
CIVIL100,CIVIL,2,3,55,FAC5085,Thursday,10:00,11:00,EW 209
CIVIL310,CIVIL,3,6,54,FAC5009,Friday,10:00,11:00,EW 209
ECE154,ECE,4,7,41,FAC5092,Friday,12:15,13:15,EW 209
MECH111,MECH,1,1,48,FAC5032,Friday,15:00,16:00,EW 209
CIVIL325,CIVIL,3,6,40,FAC5071,Friday,11:15,12:15,EW 209
ECE332,ECE,2,3,57,FAC5076,Monday,11:15,12:15,WW 007
CSE318,CSE,3,5,49,FAC5040,Monday,10:00,11:00,WW 007
MECH393,MECH,3,6,54,FAC5002,Monday,14:00,15:00,WW 007
CSE258,CSE,1,1,59,FAC5001,Monday,12:15,13:15,WW 007
ECE390,ECE,1,1,48,FAC5075,Tuesday,11:15,12:15,WW 007
AIML288,AIML,2,4,57,FAC5121,Tuesday,14:00,15:00,WW 007
ECE269,ECE,1,2,49,FAC5048,Tuesday,10:00,11:00,WW 007
AIML439,AIML,3,6,53,FAC5068,Tuesday,12:15,13:15,WW 007
EEE182,EEE,2,3,36,FAC5097,Wednesday,09:00,10:00,WW 007
AIML454,AIML,3,5,43,FAC5095,Wednesday,10:00,11:00,WW 007
CSE400,CSE,3,6,49,FAC5025,Wednesday,14:00,15:00,WW 007
CSE375,CSE,2,3,49,FAC5021,Thursday,09:00,10:00,WW 007
TEXTILE474,TEXTILE,1,2,56,FAC5042,Thursday,11:15,12:15,WW 007
ECE214,ECE,2,3,51,FAC5115,Thursday,10:00,11:00,WW 007
AIDS240,AIDS,2,3,42,FAC5050,Thursday,12:15,13:15,WW 007
