booking_id,venue_name,purpose,student_count,faculty_id,department,start_time,end_time,date,status,utilization_rate,satisfaction_score,is_peak_hour
BKG100075,Mech Conferencee Room,Workshop,4,FAC5129,AIML,10:00,12:00,2026-05-22,Approved,0.4,3,1
BKG100076,Mech Conferencee Room,Seminar,1,FAC5113,EEE,12:00,14:00,2026-07-06,Approved,0.1,3,0
BKG100077,Mech Conferencee Room,Workshop,7,FAC5031,ECE,11:00,12:00,2026-07-15,Approved,0.7,3,1
BKG100078,Cyber security Lab,Lab,43,FAC5002,IT,14:00,16:00,2026-05-18,Approved,0.72,3,0
BKG100079,Cyber security Lab,Lab,45,FAC5013,AIDS,11:00,12:00,2026-07-18,Approved,0.75,3,1
BKG100080,Cyber security Lab,Lab,46,FAC5079,AIML,12:00,14:00,2026-06-19,Approved,0.77,4,0
BKG100081,Thermal engineering lab,Lab,5,FAC5070,EEE,15:00,16:00,2026-05-06,Approved,0.21,4,0
BKG100082,Thermal engineering lab,Lab,17,FAC5119,ECE,15:00,18:00,2026-07-17,Approved,0.71,3,0
BKG100083,Thermal engineering lab,Lab,8,FAC5088,CIVIL,14:00,17:00,2026-05-13,Approved,0.33,4,0
BKG100084,Fluid Mechanics and Machinery lab,Lab,26,FAC5132,AIML,15:00,16:00,2026-07-09,Approved,0.81,5,0
BKG100085,Fluid Mechanics and Machinery lab,Lab,17,FAC5011,ECE,14:00,15:00,2026-06-22,Approved,0.53,3,0
BKG100086,Fluid Mechanics and Machinery lab,Lab,29,FAC5044,EEE,12:00,15:00,2026-06-25,Approved,0.91,5,0
BKG100087,Strength of materials,Lab,45,FAC5131,AIDS,10:00,13:00,2026-06-29,Approved,0.94,3,1
BKG100088,Strength of materials,Lab,40,FAC5066,CSE,11:00,13:00,2026-05-21,Approved,0.83,3,1
BKG100089,Strength of materials,Lab,44,FAC5102,MECH,09:00,12:00,2026-07-20,Approved,0.92,4,1
BKG100090,Kinematics and Dynamics Lab,Lab,30,FAC5112,TEXTILE,11:00,14:00,2026-05-10,Approved,0.88,3,1
BKG100091,Kinematics and Dynamics Lab,Lab,19,FAC5017,CIVIL,14:00,15:00,2026-05-29,Approved,0.56,5,0
BKG100092,Kinematics and Dynamics Lab,Lab,25,FAC5051,CIVIL,12:00,15:00,2026-07-12,Approved,0.74,4,0
BKG100093,Metallargy Lab,Lab,6,FAC5034,MECH,11:00,14:00,2026-06-02,Approved,0.25,3,1
BKG100094,Metallargy Lab,Lab,7,FAC5005,IT,12:00,13:00,2026-07-21,Approved,0.29,3,0
BKG100095,Metallargy Lab,Lab,19,FAC5096,CSE,11:00,13:00,2026-05-14,Approved,0.79,5,1
BKG100096,Computer lab - (18),Lab,80,FAC5044,MECH,15:00,17:00,2026-07-02,Approved,0.9,5,0
BKG100097,Computer lab - (18),Lab,75,FAC5070,AIDS,12:00,13:00,2026-07-19,Approved,0.84,3,0
BKG100098,Computer lab - (18),Lab,88,FAC5100,TEXTILE,15:00,17:00,2026-06-25,Approved,0.99,4,0
BKG100099,Computer Lab  (19) - Harita Lab,Lab,24,FAC5120,TEXTILE,11:00,12:00,2026-06-07,Approved,0.62,4,1
BKG100100,Computer Lab  (19) - Harita Lab,Lab,36,FAC5115,AIDS,10:00,11:00,2026-07-17,Approved,0.92,4,1
BKG100101,Computer Lab  (19) - Harita Lab,Lab,29,FAC5078,TEXTILE,14:00,16:00,2026-05-15,Approved,0.74,5,0
BKG100102,Computer Lab (20),Lab,52,FAC5064,MECH,12:00,14:00,2026-05-11,Approved,0.88,3,0
BKG100103,Computer Lab (20),Lab,57,FAC5066,CIVIL,12:00,15:00,2026-06-15,Approved,0.97,3,0
BKG100104,Computer Lab (20),Lab,54,FAC5069,MECH,12:00,13:00,2026-07-18,Approved,0.92,5,0
BKG100105,Computer Lab (21),Lab,57,FAC5066,IT,09:00,12:00,2026-05-15,Approved,0.97,5,1
BKG100106,Computer Lab (21),Lab,40,FAC5121,CIVIL,14:00,15:00,2026-05-15,Approved,0.68,3,0
BKG100107,Computer Lab (21),Lab,44,FAC5032,AIML,15:00,16:00,2026-05-12,Approved,0.75,4,0
BKG100108,Computer Lab (22),Lab,55,FAC5013,AIML,14:00,15:00,2026-05-06,Approved,0.93,3,0
BKG100109,Computer Lab (22),Lab,53,FAC5068,TEXTILE,14:00,16:00,2026-06-19,Approved,0.9,4,0
BKG100110,Computer Lab (22),Lab,55,FAC5016,IT,10:00,11:00,2026-05-14,Approved,0.93,3,1
BKG100111,Computer Lab (23),Lab,52,FAC5018,AIDS,10:00,12:00,2026-04-30,Approved,0.88,5,1
BKG100112,Computer Lab (23),Lab,40,FAC5086,MECH,09:00,10:00,2026-06-20,Approved,0.68,4,1
BKG100113,Computer Lab (23),Lab,57,FAC5009,MECH,10:00,13:00,2026-05-05,Approved,0.97,3,1
BKG100114,Computer Lab  (24) - CAD Lab,Lab,64,FAC5044,AIDS,15:00,17:00,2026-07-11,Approved,0.81,4,0
BKG100115,Computer Lab  (24) - CAD Lab,Lab,65,FAC5060,ECE,11:00,12:00,2026-07-15,Approved,0.82,3,1
BKG100116,Computer Lab  (24) - CAD Lab,Lab,64,FAC5034,CSE,10:00,13:00,2026-06-08,Approved,0.81,4,1
BKG100117,Computer Lab (25),Lab,51,FAC5096,ECE,09:00,10:00,2026-06-05,Approved,0.86,4,1
BKG100118,Computer Lab (25),Lab,43,FAC5083,MECH,14:00,16:00,2026-06-21,Approved,0.73,5,0
BKG100119,Computer Lab (25),Lab,51,FAC5021,CSE,12:00,15:00,2026-06-30,Approved,0.86,4,0
BKG100120,Computer Lab (26),Lab,69,FAC5095,AIML,14:00,15:00,2026-05-05,Approved,1.0,4,0
BKG100121,Computer Lab (26),Lab,54,FAC5091,AIDS,10:00,12:00,2026-05-28,Approved,0.78,5,1
BKG100122,Computer Lab (26),Lab,49,FAC5008,ECE,14:00,17:00,2026-06-23,Approved,0.71,5,0
BKG100123,Mech Drawing Hall,Meeting,142,FAC5123,ECE,10:00,12:00,2026-05-26,Approved,0.95,3,1
BKG100124,Mech Drawing Hall,Training,133,FAC5020,EEE,10:00,11:00,2026-05-07,Approved,0.89,3,1
BKG100125,Mech Drawing Hall,Meeting,146,FAC5065,CSE,15:00,18:00,2026-06-02,Approved,0.97,3,0
BKG100126,Agri Lab,Lab,44,FAC5007,CIVIL,12:00,15:00,2026-06-01,Approved,0.98,3,0
BKG100127,Agri Lab,Lab,30,FAC5040,AIDS,14:00,15:00,2026-05-09,Approved,0.67,5,0
BKG100128,Agri Lab,Lab,38,FAC5024,IT,10:00,11:00,2026-07-18,Approved,0.84,3,1
BKG100129,Godrej lab,Lab,55,FAC5038,CIVIL,10:00,12:00,2026-06-15,Approved,0.98,3,1
BKG100130,Godrej lab,Lab,52,FAC5111,AIML,15:00,17:00,2026-05-21,Approved,0.93,3,0
BKG100131,Godrej lab,Lab,54,FAC5057,TEXTILE,11:00,13:00,2026-05-16,Approved,0.96,5,1
BKG100132,Industrial Safety lab,Lab,8,FAC5060,EEE,14:00,15:00,2026-06-27,Approved,0.44,3,0
BKG100133,Industrial Safety lab,Lab,16,FAC5100,TEXTILE,15:00,16:00,2026-07-11,Approved,0.89,4,0
BKG100134,Industrial Safety lab,Lab,4,FAC5073,AIML,12:00,14:00,2026-06-20,Approved,0.22,3,0
BKG100135,Heat and Mass Transfer lab,Lab,46,FAC5078,CIVIL,09:00,12:00,2026-07-22,Approved,0.92,4,1
BKG100136,Heat and Mass Transfer lab,Lab,30,FAC5125,EEE,12:00,14:00,2026-07-17,Approved,0.6,3,0
BKG100137,Heat and Mass Transfer lab,Lab,44,FAC5121,TEXTILE,09:00,12:00,2026-06-25,Approved,0.88,5,1
BKG100138,Basic work shop,Lab,28,FAC5046,ECE,10:00,13:00,2026-05-18,Approved,0.7,5,1
BKG100139,Basic work shop,Lab,22,FAC5080,CSE,10:00,11:00,2026-06-07,Approved,0.55,3,1
BKG100140,Basic work shop,Lab,30,FAC5128,AIDS,11:00,12:00,2026-05-18,Approved,0.75,3,1
BKG100141,Metrology Lab,Lab,3,FAC5097,CIVIL,09:00,12:00,2026-07-05,Approved,0.75,4,1
BKG100142,Metrology Lab,Lab,1,FAC5032,ECE,10:00,12:00,2026-07-04,Approved,0.25,4,1
BKG100143,Metrology Lab,Lab,4,FAC5091,AIDS,15:00,18:00,2026-05-30,Approved,1.0,3,0
BKG100144,SF B01,Training,74,FAC5125,MECH,11:00,14:00,2026-06-12,Approved,0.93,3,1
BKG100145,SF B01,Class,73,FAC5092,AIML,12:00,14:00,2026-05-14,Approved,0.91,5,0
BKG100146,SF B01,Class,68,FAC5107,CSE,09:00,11:00,2026-06-19,Approved,0.85,5,1
BKG100147,SF B02,Training,61,FAC5051,MECH,09:00,12:00,2026-07-18,Approved,0.76,5,1
BKG100148,SF B02,Meeting,64,FAC5122,TEXTILE,09:00,11:00,2026-06-08,Approved,0.8,5,1
BKG100149,SF B02,Training,60,FAC5009,IT,10:00,13:00,2026-06-19,Approved,0.75,4,1
BKG100150,SF B03,Class,74,FAC5029,CSE,14:00,16:00,2026-05-09,Approved,0.93,5,0
BKG100151,SF B03,Training,76,FAC5085,MECH,09:00,12:00,2026-07-20,Approved,0.95,5,1
BKG100152,SF B03,Training,75,FAC5100,IT,14:00,16:00,2026-05-17,Approved,0.94,3,0
BKG100153,SF 001,Training,67,FAC5059,AIDS,12:00,15:00,2026-05-18,Approved,0.84,4,0
BKG100154,SF 001,Training,72,FAC5097,CSE,09:00,11:00,2026-05-10,Approved,0.9,3,1
BKG100155,SF 001,Meeting,77,FAC5096,ECE,15:00,18:00,2026-05-10,Approved,0.96,4,0
BKG100156,SF 002,Training,64,FAC5092,TEXTILE,10:00,13:00,2026-05-26,Approved,0.8,4,1
BKG100157,SF 002,Class,61,FAC5008,CSE,11:00,13:00,2026-06-23,Approved,0.76,3,1
BKG100158,SF 002,Class,72,FAC5118,AIDS,12:00,13:00,2026-07-22,Approved,0.9,3,0
BKG100159,SF 101,Class,62,FAC5086,MECH,10:00,11:00,2026-05-29,Approved,0.78,3,1
BKG100160,SF 101,Class,78,FAC5073,EEE,14:00,16:00,2026-05-20,Approved,0.97,5,0
BKG100161,SF 101,Meeting,74,FAC5071,TEXTILE,09:00,10:00,2026-05-06,Approved,0.93,4,1
BKG100162,SF 102,Meeting,62,FAC5079,AIDS,10:00,13:00,2026-07-18,Approved,0.78,5,1
BKG100163,SF 102,Class,70,FAC5099,AIML,12:00,15:00,2026-07-06,Approved,0.88,3,0
BKG100164,SF 102,Class,80,FAC5023,CIVIL,09:00,12:00,2026-07-16,Approved,1.0,5,1
BKG100165,SF 103,Training,68,FAC5026,ECE,10:00,11:00,2026-07-10,Approved,0.85,3,1
BKG100166,SF 103,Training,78,FAC5129,CSE,14:00,16:00,2026-05-02,Approved,0.97,4,0
BKG100167,SF 103,Training,69,FAC5024,TEXTILE,09:00,11:00,2026-05-25,Approved,0.86,4,1
BKG100168,SF 201,Training,75,FAC5120,MECH,12:00,14:00,2026-06-17,Approved,0.94,4,0
BKG100169,SF 201,Training,78,FAC5133,CIVIL,11:00,12:00,2026-06-02,Approved,0.97,3,1
BKG100170,SF 201,Meeting,80,FAC5101,TEXTILE,10:00,13:00,2026-05-01,Approved,1.0,5,1
BKG100171,SF 202,Meeting,70,FAC5101,TEXTILE,10:00,13:00,2026-07-09,Approved,0.88,3,1
BKG100172,SF 202,Training,80,FAC5131,IT,14:00,16:00,2026-06-27,Approved,1.0,3,0
BKG100173,SF 202,Training,70,FAC5079,MECH,10:00,12:00,2026-06-28,Approved,0.88,3,1
BKG100174,SF 203,Training,73,FAC5078,AIDS,10:00,11:00,2026-05-12,Approved,0.91,4,1
BKG100175,SF 203,Meeting,74,FAC5092,CSE,14:00,15:00,2026-07-10,Approved,0.93,3,0
BKG100176,SF 203,Training,77,FAC5057,AIML,09:00,10:00,2026-05-12,Approved,0.96,3,1
BKG100177,SUN FLOWER BLOCK - SEMINAR HALL I,Workshop,291,FAC5007,CSE,12:00,15:00,2026-04-28,Approved,0.96,3,0
BKG100178,SUN FLOWER BLOCK - SEMINAR HALL I,Conference,291,FAC5035,CIVIL,09:00,11:00,2026-05-09,Approved,0.96,4,1
BKG100179,SUN FLOWER BLOCK - SEMINAR HALL I,Workshop,301,FAC5051,MECH,11:00,13:00,2026-06-22,Approved,0.99,5,1
BKG100180,SUN FLOWER BLOCK - SEMINAR HALL II,Seminar,175,FAC5051,TEXTILE,15:00,17:00,2026-05-14,Approved,0.97,5,0
BKG100181,SUN FLOWER BLOCK - SEMINAR HALL II,Conference,175,FAC5014,ECE,10:00,12:00,2026-05-25,Approved,0.97,5,1
BKG100182,SUN FLOWER BLOCK - SEMINAR HALL II,Conference,161,FAC5029,AIML,14:00,17:00,2026-05-31,Approved,0.89,3,0
BKG100183,SUN FLOWER BLOCK - SEMINAR HALL III,Seminar,189,FAC5112,CIVIL,14:00,17:00,2026-06-14,Approved,0.97,4,0
BKG100184,SUN FLOWER BLOCK - SEMINAR HALL III,Conference,190,FAC5089,CIVIL,15:00,16:00,2026-07-01,Approved,0.97,4,0
BKG100185,SUN FLOWER BLOCK - SEMINAR HALL III,Seminar,179,FAC5009,CIVIL,10:00,11:00,2026-07-19,Approved,0.92,3,1
BKG100186,MBA SYNDICATE ROOM,Training,1,FAC5089,AIDS,10:00,13:00,2026-05-31,Approved,0.08,3,1
BKG100187,MBA SYNDICATE ROOM,Class,2,FAC5132,AIDS,11:00,12:00,2026-07-12,Approved,0.15,5,1
BKG100188,MBA SYNDICATE ROOM,Meeting,6,FAC5034,MECH,12:00,15:00,2026-07-11,Approved,0.46,3,0
BKG100189,Class Room 1,Meeting,56,FAC5078,TEXTILE,14:00,16:00,2026-07-05,Approved,0.93,4,0
BKG100190,Class Room 1,Training,57,FAC5070,CSE,15:00,16:00,2026-06-30,Approved,0.95,3,0
BKG100191,Class Room 1,Class,41,FAC5083,EEE,12:00,13:00,2026-06-07,Approved,0.68,4,0
BKG100192,Class Room 2,Class,41,FAC5081,TEXTILE,10:00,12:00,2026-07-17,Approved,0.68,5,1
BKG100193,Class Room 2,Meeting,43,FAC5044,ECE,10:00,11:00,2026-06-06,Approved,0.72,3,1
BKG100194,Class Room 2,Training,51,FAC5134,AIML,14:00,16:00,2026-04-28,Approved,0.85,4,0
BKG100195,Tutorial Hall,Class,15,FAC5028,AIDS,14:00,17:00,2026-06-14,Approved,0.54,4,0
BKG100196,Tutorial Hall,Class,28,FAC5005,MECH,15:00,17:00,2026-07-04,Approved,1.0,3,0
BKG100197,Tutorial Hall,Meeting,23,FAC5031,EEE,15:00,16:00,2026-07-06,Approved,0.82,4,0
BKG100198,BAS Lab(Computer Lab 1),Lab,34,FAC5063,ECE,12:00,15:00,2026-07-07,Approved,0.85,5,0
BKG100199,BAS Lab(Computer Lab 1),Lab,37,FAC5065,MECH,14:00,15:00,2026-06-12,Approved,0.93,3,0
BKG100200,BAS Lab(Computer Lab 1),Lab,28,FAC5116,AIML,12:00,15:00,2026-07-18,Approved,0.7,5,0
BKG100201,BOARD ROOM,Meeting,2,FAC5078,AIML,14:00,17:00,2026-06-20,Approved,0.17,3,0
BKG100202,BOARD ROOM,Training,11,FAC5095,TEXTILE,15:00,17:00,2026-05-09,Approved,0.92,5,0
BKG100203,BOARD ROOM,Training,8,FAC5090,ECE,09:00,10:00,2026-06-11,Approved,0.67,5,1
BKG100204,IT DISCUSSION ROOM,Training,3,FAC5075,TEXTILE,09:00,10:00,2026-06-16,Approved,0.3,5,1
BKG100205,IT DISCUSSION ROOM,Meeting,2,FAC5089,ECE,14:00,15:00,2026-05-24,Approved,0.2,4,0
BKG100206,IT DISCUSSION ROOM,Training,2,FAC5100,MECH,14:00,17:00,2026-06-16,Approved,0.2,5,0
BKG100207,CSE DISCUSSION ROOM,Meeting,3,FAC5059,MECH,15:00,18:00,2026-06-07,Approved,0.2,5,0
BKG100208,CSE DISCUSSION ROOM,Meeting,15,FAC5055,AIDS,10:00,11:00,2026-06-13,Approved,1.0,3,1
BKG100209,CSE DISCUSSION ROOM,Training,3,FAC5002,ECE,15:00,16:00,2026-06-16,Approved,0.2,5,0
BKG100210,Artificial Intelligence Lab(COMPUTER LAB 2),Lab,62,FAC5109,CIVIL,09:00,10:00,2026-05-02,Approved,0.87,5,1
BKG100211,Artificial Intelligence Lab(COMPUTER LAB 2),Lab,57,FAC5095,MECH,12:00,14:00,2026-07-12,Approved,0.8,4,0
BKG100212,Artificial Intelligence Lab(COMPUTER LAB 2),Lab,59,FAC5091,CIVIL,15:00,16:00,2026-06-14,Approved,0.83,4,0
BKG100213,Data Mining Lab(COMPUTER LAB 3),Lab,59,FAC5056,CSE,12:00,15:00,2026-06-06,Approved,1.0,4,0
BKG100214,Data Mining Lab(COMPUTER LAB 3),Lab,57,FAC5010,ECE,12:00,15:00,2026-07-18,Approved,0.97,5,0
BKG100215,Data Mining Lab(COMPUTER LAB 3),Lab,51,FAC5129,EEE,15:00,16:00,2026-06-04,Approved,0.86,3,0
BKG100216,Cloud Computing(COMPUTER LAB 4),Lab,41,FAC5011,MECH,15:00,18:00,2026-07-20,Approved,0.69,4,0
BKG100217,Cloud Computing(COMPUTER LAB 4),Lab,46,FAC5109,EEE,14:00,16:00,2026-06-05,Approved,0.78,4,0
BKG100218,Cloud Computing(COMPUTER LAB 4),Lab,42,FAC5099,EEE,10:00,12:00,2026-07-18,Approved,0.71,5,1
BKG100219,Database management system(computer lab 5),Lab,41,FAC5002,IT,09:00,11:00,2026-06-21,Approved,0.69,4,1
BKG100220,Database management system(computer lab 5),Lab,46,FAC5096,CIVIL,12:00,14:00,2026-07-22,Approved,0.78,5,0
BKG100221,Database management system(computer lab 5),Lab,46,FAC5109,CSE,14:00,16:00,2026-06-11,Approved,0.78,4,0
BKG100222,Programming Lab(COMPUTER LAB 6),Lab,59,FAC5002,EEE,09:00,10:00,2026-05-09,Approved,1.0,5,1
BKG100223,Programming Lab(COMPUTER LAB 6),Lab,55,FAC5073,ECE,10:00,11:00,2026-04-30,Approved,0.93,5,1
BKG100224,Programming Lab(COMPUTER LAB 6),Lab,43,FAC5023,EEE,09:00,10:00,2026-05-23,Approved,0.73,5,1
BKG100225,COMPUTER LAB - 7,Lab,70,FAC5020,MECH,15:00,16:00,2026-06-04,Approved,0.99,5,0
BKG100226,COMPUTER LAB - 7,Lab,66,FAC5135,CSE,09:00,10:00,2026-05-01,Approved,0.93,5,1
BKG100227,COMPUTER LAB - 7,Lab,67,FAC5108,MECH,15:00,18:00,2026-06-12,Approved,0.94,4,0
BKG100228,COMPUTER LAB - 8,Lab,48,FAC5028,AIML,14:00,15:00,2026-06-03,Approved,0.81,5,0
BKG100229,COMPUTER LAB - 8,Lab,42,FAC5070,AIML,12:00,14:00,2026-04-29,Approved,0.71,4,0
BKG100230,COMPUTER LAB - 8,Lab,56,FAC5067,CSE,10:00,13:00,2026-05-16,Approved,0.95,3,1
BKG100231,COMPUTER LAB - 9,Lab,45,FAC5089,EEE,14:00,16:00,2026-05-29,Approved,0.76,3,0
BKG100232,COMPUTER LAB - 9,Lab,45,FAC5090,IT,11:00,14:00,2026-06-29,Approved,0.76,5,1
BKG100233,COMPUTER LAB - 9,Lab,48,FAC5067,CSE,10:00,12:00,2026-04-29,Approved,0.81,4,1
BKG100234,COMPUTER LAB - 10,Lab,53,FAC5121,AIDS,11:00,14:00,2026-05-01,Approved,0.9,3,1
BKG100235,COMPUTER LAB - 10,Lab,54,FAC5107,ECE,15:00,17:00,2026-05-12,Approved,0.92,5,0
BKG100236,COMPUTER LAB - 10,Lab,41,FAC5093,AIDS,14:00,17:00,2026-05-25,Approved,0.69,5,0
